link,link-href,text,1
Ancient history,https://en.wikipedia.org/wiki/Ancient_history,"The Indus Valley Civilization (c. 3300–1700 BC, flourished 2600–1900 BC), abbreviated IVC, was an ancient civilization that flourished in the Indus and Ghaggar-Hakra river valleys primarily in what is now Pakistan, although settlements linked to this ancient civilization have been found in eastern Afghanistan, and western India. Minor scattered sites have been found as far away as Turkmenistan. Another name for this civilization is the Harappan Civilization, after the first of its cities to be excavated, Harappa in the Pakistani province of Punjab. The IVC might have been known to the Sumerians as the Meluhha, and other trade contacts may have included Egypt, Africa, however the modern world discovered it only in the 1920s as a result of archaeological excavations and rail road building. Prominent historians of Ancient India would include Ram Sharan Sharma and Romila Thapar.",1
Copper Age,https://en.wikipedia.org/wiki/Copper_Age,"The Chalcolithic( English /ˌkælkəlˈlɪθɪk/;[ 1] Greek: χαλκός khalkós, `` copper'' and λίθος líthos, `` stone'')[ 1] period or Copper Age,[ 1] also know as the Eneolithic[ 1] or Æneolithic( from Latin aeneus `` of copper''), be a period in the development of human technology, precede the Bronze Age, before it be discover that add tin to copper form the harder bronze. The Copper Age be originally define as a transition between the Neolithic and the Bronze Age.",0
Medicine,https://en.wikipedia.org/wiki/History_of_medicine,"Meanwhile, in Catholic lands such as France, rich families continue to fund convents and monasteries, and enrol their daughters as nuns who provide free health services to the poor. Nursing be a religious role for the nurse, and there be little call for science.[ 77]",0
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,The British Agricultural Revolution be consider one of the causes of the Industrial Revolution because improved agricultural productivity free up workers to work in other sectors of the economy.[ 52],0
Theatre,https://en.wikipedia.org/wiki/History_of_theatre,"Performance of religious plays outside of the church began sometime in the 12th century through a traditionally accepted process of merging shorter liturgical dramas into longer plays which were then translated into vernacular and performed by laymen. The Mystery of Adam (1150) gives credence to this theory as its detailed stage direction suggest that it was staged outdoors. A number of other plays from the period survive, including La Seinte Resurrection (Norman), The Play of the Magi Kings (Spanish), and Sponsus (French).",1
Linguistics,https://en.wikipedia.org/wiki/History_of_linguistics,"In the early 20th century, de Saussure distinguished between the notions of langue and parole in his formulation of structural linguistics. According to him, parole is the specific utterance of speech, whereas langue refers to an abstract phenomenon that theoretically defines the principles and system of rules that govern a language.[1] This distinction resembles the one made by Noam Chomsky between competence and performance, where competence is individual's ideal knowledge of a language, while performance is the specific way in which it is used.[2]",1
Stone Age,https://en.wikipedia.org/wiki/Stone_Age,"Around 2 million years ago, Homo habilis is believed to have constructed the first man-made structure in East Africa, consisting of simple arrangements of stones to hold branches of trees in position. A similar stone circular arrangement believed to be around 380,000 years old was discovered at Terra Amata, near Nice, France. (Concerns about the dating have been raised, see Terra Amata). Several human habitats dating back to the Stone Age have been discovered around the globe, including:",1
Economics,https://en.wikipedia.org/wiki/History_of_economic_thought,"In 1975 American economists Sidney Weintraub( 1914–1983) and Henry Wallich( 1914–1988) publish A Tax-Based Incomes Policy, promote Tax-Based Incomes Policy( TIP), use the income tax mechanism to implement an anti-inflationary incomes policy. In 1978 Weintraub and American economist Paul Davidson( 1930–) found the Journal of Post Keynesian Economics. This open the door to many younger economists such as E. Ray Canterbery( 1935-). Always Post Keynesian in his style and approach, Canterbery go on to make contributions outside traditional Post Keynesianism. His friend, John Kenneth Galbraith, be a long-time influence.",0
Painting,https://en.wikipedia.org/wiki/History_of_painting,"Baroque painting be characterize by great drama, rich, deep color, and intense light and dark shadows. Baroque art be mean to evoke emotion and passion instead of the calm rationality that have be prize during the Renaissance. During the period begin around 1600 and continue throughout the 17th century, painting be characterize as Baroque. Among the greatest painters of the Baroque be Caravaggio, Rembrandt, Frans Hals, Rubens, Velázquez, Poussin, and Jan Vermeer. Caravaggio be an heir of the humanist painting of the High Renaissance. His realistic approach to the human figure, paint directly from life and dramatically spotlit against a dark background, shock his contemporaries and open a new chapter in the history of painting. Baroque paint often dramatize scenes use light effects; this can be see in works by Rembrandt, Vermeer, Le Nain and La Tour.",0
Stone Age,https://en.wikipedia.org/wiki/Stone_Age,"The period start from the end of the last ice age, 10,000 years ago, to around 6,000 years ago be characterize by rise sea levels and a need to adapt to a change environment and find new food sources. The development of Mode 5( microlith) tool begin in response to these changes. They be derive from the previous Paleolithic tools, hence the term Epipaleolithic, or be intermediate between the Paleolithic and the Neolithic, hence the term Mesolithic( Middle Stone Age). The choice of a word depend on exact circumstances and the inclination of the archaeologists excavate the site. Microliths be use in the manufacture of more efficient composite tools, result in an intensification of hunting and fishing and with increase social activity the development of more complex settlements, such as Lepenski Vir. Domestication of the dog as a hunt companion probably date to this period.",0
